Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,691167,-,-,-,30.97,-97.26,-6,161,-6,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2002,1,1,0,30,0,0,0,-1,0,1000,24,1.7000000000000002,0.17
2002,1,1,1,30,0,0,0,-2,0,1000,22,1.8,0.17
2002,1,1,2,30,0,0,0,-2,0,1000,18,1.9000000000000001,0.17
2002,1,1,3,30,0,0,0,-2,0,1000,20,2.2,0.17
2002,1,1,4,30,0,0,0,-2,0,1000,22,2.3000000000000003,0.17
2002,1,1,5,30,0,0,0,-3,0,1000,20,2.3000000000000003,0.17
2002,1,1,6,30,0,0,0,-3,-1,1000,12,2.6,0.17
2002,1,1,7,30,0,0,0,-3,0,1000,9,3.2,0.17
2002,1,1,8,30,3,65,66,-3,1,1000,9,3.9000000000000004,0.17
2002,1,1,9,30,7,126,129,-4,3,1000,29,4.2,0.17
2002,1,1,10,30,57,203,230,-5,4,1000,36,4.1000000000000005,0.17
2002,1,1,11,30,534,187,486,-5,5,1000,33,4.1000000000000005,0.17
2002,1,1,12,30,132,277,355,-4,6,1000,29,4.1000000000000005,0.17
2002,1,1,13,30,25,221,236,-4,7,1000,26,4.2,0.17
2002,1,1,14,30,0,104,104,-4,6,1000,23,4.3,0.17
2002,1,1,15,30,220,150,230,-4,5,1000,20,4.2,0.17
2002,1,1,16,30,13,73,76,-3,4,1000,16,3.8000000000000003,0.17
2002,1,1,17,30,0,0,0,-3,2,1000,11,3.6,0.17
2002,1,1,18,30,0,0,0,-2,1,1000,4,3.8000000000000003,0.17
2002,1,1,19,30,0,0,0,-2,1,1000,2,3.6,0.17
2002,1,1,20,30,0,0,0,-2,0,1000,358,2.9000000000000004,0.17
2002,1,1,21,30,0,0,0,-2,0,1000,354,2.2,0.17
2002,1,1,22,30,0,0,0,-2,0,1000,351,2,0.17
2002,1,1,23,30,0,0,0,-3,0,1000,349,2.3000000000000003,0.17
2002,1,2,0,30,0,0,0,-3,0,1000,351,2.5,0.17
2002,1,2,1,30,0,0,0,-3,-1,1000,360,2.7,0.17
2002,1,2,2,30,0,0,0,-4,-1,1000,358,2.7,0.17
2002,1,2,3,30,0,0,0,-4,-2,1000,352,2.6,0.17
2002,1,2,4,30,0,0,0,-5,-3,1000,351,2.5,0.17
2002,1,2,5,30,0,0,0,-6,-3,1000,352,2.4000000000000004,0.17
2002,1,2,6,30,0,0,0,-6,-3,1000,352,2.5,0.17
2002,1,2,7,30,0,0,0,-6,-2,1010,350,3.1,0.17
2002,1,2,8,30,633,45,163,-6,0,1010,349,4,0.17
2002,1,2,9,30,825,64,354,-8,2,1010,10,4.6000000000000005,0.17
2002,1,2,10,30,907,76,510,-9,3,1010,13,4.7,0.17
2002,1,2,11,30,940,85,611,-9,4,1010,10,4.6000000000000005,0.17
2002,1,2,12,30,530,202,514,-9,5,1000,4,4.5,0.17
2002,1,2,13,30,895,102,609,-8,5,1000,358,4.4,0.17
2002,1,2,14,30,836,100,510,-7,5,1000,353,4.3,0.17
2002,1,2,15,30,162,154,214,-7,4,1000,348,4,0.17
2002,1,2,16,30,40,77,85,-6,3,1000,345,3.1,0.17
2002,1,2,17,30,0,0,0,-4,1,1000,344,2.5,0.17
2002,1,2,18,30,0,0,0,-3,0,1010,345,2.8000000000000003,0.17
2002,1,2,19,30,0,0,0,-3,0,1010,347,3,0.17
2002,1,2,20,30,0,0,0,-3,0,1010,349,2.7,0.17
2002,1,2,21,30,0,0,0,-3,-1,1010,350,2.2,0.17
2002,1,2,22,30,0,0,0,-4,-2,1010,350,1.7000000000000002,0.17
2002,1,2,23,30,0,0,0,-4,-3,1010,348,1.3,0.17
2002,1,3,0,30,0,0,0,-5,-4,1010,344,1.1,0.17
2002,1,3,1,30,0,0,0,-6,-5,1010,343,1,0.17
2002,1,3,2,30,0,0,0,-6,-5,1010,341,1,0.17
2002,1,3,3,30,0,0,0,-7,-5,1010,341,1,0.17
2002,1,3,4,30,0,0,0,-7,-5,1010,345,0.9,0.17
2002,1,3,5,30,0,0,0,-7,-5,1010,351,0.9,0.17
2002,1,3,6,30,0,0,0,-7,-5,1010,360,0.8,0.17
2002,1,3,7,30,0,0,0,-7,-4,1010,13,1.1,0.17
2002,1,3,8,30,36,68,75,-9,-1,1010,42,1.4000000000000001,0.17
2002,1,3,9,30,429,116,266,-10,0,1010,71,1.1,0.17
2002,1,3,10,30,366,189,364,-10,2,1010,70,0.7000000000000001,0.17
2002,1,3,11,30,935,92,617,-9,3,1010,69,0.5,0.17
2002,1,3,12,30,950,94,656,-8,4,1000,90,0.5,0.17
2002,1,3,13,30,944,90,626,-7,5,1000,111,0.6000000000000001,0.17
2002,1,3,14,30,910,83,531,-6,6,1000,121,1,0.17
2002,1,3,15,30,835,71,379,-6,5,1000,127,1.2000000000000002,0.17
2002,1,3,16,30,668,51,190,-4,3,1000,130,1.2000000000000002,0.17
2002,1,3,17,30,168,11,14,-3,0,1000,126,1.3,0.17
2002,1,3,18,30,0,0,0,-5,0,1000,130,1.6,0.17
2002,1,3,19,30,0,0,0,-5,-1,1000,136,1.7000000000000002,0.17
2002,1,3,20,30,0,0,0,-5,-1,1000,143,1.8,0.17
2002,1,3,21,30,0,0,0,-6,-2,1000,152,1.8,0.17
2002,1,3,22,30,0,0,0,-6,-2,1000,161,1.8,0.17
2002,1,3,23,30,0,0,0,-6,-3,1000,167,1.8,0.17
2002,1,4,0,30,0,0,0,-6,-3,1000,169,1.9000000000000001,0.17
2002,1,4,1,30,0,0,0,-5,-3,1000,169,1.9000000000000001,0.17
2002,1,4,2,30,0,0,0,-5,-3,1000,171,1.9000000000000001,0.17
2002,1,4,3,30,0,0,0,-5,-3,1000,173,1.9000000000000001,0.17
2002,1,4,4,30,0,0,0,-5,-3,1000,174,1.8,0.17
2002,1,4,5,30,0,0,0,-5,-3,1000,175,1.8,0.17
2002,1,4,6,30,0,0,0,-5,-3,1000,176,2,0.17
2002,1,4,7,30,0,0,0,-5,-2,1000,174,2.4000000000000004,0.17
2002,1,4,8,30,331,59,121,-5,-1,1000,170,2.7,0.17
2002,1,4,9,30,746,78,340,-4,1,1000,160,3,0.17
2002,1,4,10,30,825,95,491,-3,4,1000,160,3.8000000000000003,0.17
2002,1,4,11,30,851,108,587,-2,7,1000,168,4.3,0.17
2002,1,4,12,30,866,109,622,0,8,1000,177,4.5,0.17
2002,1,4,13,30,78,257,302,1,9,1000,180,4.7,0.17
2002,1,4,14,30,0,148,148,2,10,1000,178,4.4,0.17
2002,1,4,15,30,0,89,89,3,9,1000,170,3.7,0.17
2002,1,4,16,30,0,58,58,4,8,1000,160,2.9000000000000004,0.17
2002,1,4,17,30,27,10,10,5,7,1000,153,2.8000000000000003,0.17
2002,1,4,18,30,0,0,0,5,7,1000,148,3.2,0.17
2002,1,4,19,30,0,0,0,6,7,1000,148,3.7,0.17
2002,1,4,20,30,0,0,0,6,7,1000,151,3.9000000000000004,0.17
2002,1,4,21,30,0,0,0,6,7,1000,152,4,0.17
2002,1,4,22,30,0,0,0,6,7,990,154,4,0.17
2002,1,4,23,30,0,0,0,6,7,990,152,4,0.17
2002,1,5,0,30,0,0,0,6,7,990,152,3.8000000000000003,0.17
2002,1,5,1,30,0,0,0,7,7,990,166,3.3000000000000003,0.17
2002,1,5,2,30,0,0,0,7,7,990,182,2.5,0.17
2002,1,5,3,30,0,0,0,7,7,990,191,1.5,0.17
2002,1,5,4,30,0,0,0,7,7,990,201,0.8,0.17
