power_mw,duration_hr,energy_mwh,annual_energy_kwh,batt_annual_discharge_energy_kwh,batt_roundtrip_efficiency_pct,batt_capacity_end_of_life_pct,lcoe_real_cents_per_kwh,lcoe_nom_cents_per_kwh,npv_usd,irr_pct,lcos_usd_per_kwh,total_installed_cost_usd,status
50.0,1,50.0,907381719.00368,23162352.818,89.98,95.8,2.2787,2.8111,178220087.23,18.06,0.1149,303499321.0,ok
50.0,2,100.0,909863468.24472,47903075.366,93.1,95.6,2.3832,2.9399,168817842.15,17.281,0.094,315999321.0,ok
50.0,4,200.0,912273919.36113,64828301.645,95.22,95.4,2.6008,3.2084,148742225.62,15.813,0.1262,340999321.0,ok
50.0,6,300.0,912916860.19409,68085976.917,95.61,95.3,2.8249,3.4849,127808841.38,14.483,0.1741,365999321.0,ok
50.0,8,400.0,913000401.25236,69536938.238,95.7,95.3,3.0513,3.7642,106603244.83,13.291,0.2234,390999321.0,ok
75.0,1,75.0,908434939.52991,36801212.575,92.12,95.6,2.3659,2.9186,195596941.21,17.408,0.1085,313499321.0,ok
75.0,2,150.0,912568162.33395,69264171.606,94.26,95.3,2.5202,3.109,181684215.34,16.333,0.0975,332249321.0,ok
75.0,4,300.0,915306472.88416,84451744.68,96.04,95.1,2.8486,3.5141,151145826.63,14.351,0.1453,369749321.0,ok
75.0,6,450.0,916178317.17043,88412554.965,96.37,95.0,3.1837,3.9275,119701584.38,12.652,0.2012,407249321.0,ok
75.0,8,600.0,916429644.04402,90015195.233,96.48,95.1,3.5213,4.344,87955975.94,11.193,0.2589,444749321.0,ok
100.0,1,100.0,909860728.9009,47903451.282,93.1,95.6,2.4514,3.0241,213148190.81,16.801,0.1111,323499321.0,ok
100.0,2,200.0,913877979.28378,78265301.392,95.2,95.3,2.6622,3.2842,193861585.08,15.431,0.115,348499321.0,ok
100.0,4,400.0,916060657.61851,87486383.605,96.3,95.0,3.1051,3.8306,152433341.95,13.026,0.187,398499321.0,ok
100.0,6,600.0,916429644.04402,90015195.233,96.48,95.1,3.5552,4.3858,110121819.45,11.059,0.2634,448499321.0,ok
100.0,8,800.0,915407531.35518,90898387.106,94.59,95.1,4.0126,4.9501,67132065.81,9.41,0.3418,498499321.0,ok
125.0,1,125.0,911581693.89105,58615360.952,93.73,95.5,2.5355,3.1279,230843781.48,16.234,0.1135,333499321.0,ok
125.0,2,250.0,914727402.88911,81996271.097,95.78,95.2,2.8058,3.4613,205818319.34,14.589,0.1372,364749321.0,ok
125.0,4,500.0,916317973.9141,89124609.532,96.43,95.0,3.3637,4.1496,153478425.34,11.847,0.2294,427249321.0,ok
125.0,6,750.0,916445557.7158,90699319.587,96.47,95.2,3.9278,4.8454,100427681.61,9.694,0.3268,489749321.0,ok
125.0,8,1000.0,913321672.60336,91707850.907,90.29,95.0,4.5116,5.5656,45788124.86,7.908,0.4235,552249321.0,ok
150.0,1,150.0,912568162.33395,69264171.606,94.26,95.3,2.6223,3.2349,248181745.85,15.679,0.1153,343499321.0,ok
150.0,2,300.0,915306472.88416,84451744.68,96.04,95.1,2.9503,3.6396,217643357.14,13.805,0.1599,380999321.0,ok
150.0,4,600.0,916429644.04402,90015195.233,96.48,95.1,3.6229,4.4693,154453506.45,10.795,0.2726,455999321.0,ok
150.0,6,900.0,913937066.14255,91272170.793,91.08,94.9,4.3153,5.3234,89499949.14,8.468,0.3897,530999321.0,ok
150.0,8,1200.0,913521824.10943,92473870.018,90.43,95.0,4.9975,6.165,25561242.73,6.669,0.504,605999321.0,ok
