Error,Module,Year,ModulesPerString
Error parsing OND file: [Errno 9] Bad file descriptor,JAM66D45-625LB(3.2+2.0mm).PAN,1998,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,1998,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,1999,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,1999,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2000,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2000,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2001,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2002,28
Error parsing OND file: [Errno 9] Bad file descriptor,JAM66D45-625LB(3.2+2.0mm).PAN,2001,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2002,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2003,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2004,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2003,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2004,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2005,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2006,28
Error parsing OND file: [Errno 9] Bad file descriptor,JAM66D45-625LB(3.2+2.0mm).PAN,2005,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2006,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2007,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2008,29
Error parsing OND file: [Errno 9] Bad file descriptor,JAM66D45-625LB(3.2+2.0mm).PAN,2007,28
Error parsing OND file: [Errno 9] Bad file descriptor,JAM66D45-625LB(3.2+2.0mm).PAN,2008,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2009,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2009,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2010,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2010,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2011,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2012,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2011,29
Error parsing OND file: [Errno 9] Bad file descriptor,JAM66D45-625LB(3.2+2.0mm).PAN,2012,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2013,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2013,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2014,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2014,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2015,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2015,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2016,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2016,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2017,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2018,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2017,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2018,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2019,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2019,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2020,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2020,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2021,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2021,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2022,29
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2023,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2022,28
OND file not found: 1,JAM66D45-625LB(3.2+2.0mm).PAN,2023,29
