Module,Year,ModulesPerString,VocMax,MPPTLoss
JAM66D45-620/LB(3.2+2.0mm),1998,28,1388.89,0.0
JAM66D45-620/LB(3.2+2.0mm),1998,30,1488.09,0.0
JAM66D45-620/LB(3.2+2.0mm),1999,30,1497.75,0.0
JAM66D45-620/LB(3.2+2.0mm),1998,29,1438.49,0.0
JAM66D45-620/LB(3.2+2.0mm),1999,29,1447.82,0.0
JAM66D45-620/LB(3.2+2.0mm),2000,28,1380.16,0.0
JAM66D45-620/LB(3.2+2.0mm),1999,28,1397.9,0.0
JAM66D45-620/LB(3.2+2.0mm),2000,29,1429.45,0.0
JAM66D45-620/LB(3.2+2.0mm),2000,30,1478.74,0.0
JAM66D45-620/LB(3.2+2.0mm),2002,29,1453.4,0.0
JAM66D45-620/LB(3.2+2.0mm),2001,28,1386.9,0.03
JAM66D45-620/LB(3.2+2.0mm),2001,30,1485.96,0.0
JAM66D45-620/LB(3.2+2.0mm),2001,29,1436.43,0.0
JAM66D45-620/LB(3.2+2.0mm),2002,28,1403.29,0.0
JAM66D45-620/LB(3.2+2.0mm),2002,30,1503.52,0.0
JAM66D45-620/LB(3.2+2.0mm),2003,28,1397.75,0.0
JAM66D45-630/LB(3.2+2.0mm),1998,30,1500.74,0.0
JAM66D45-630/LB(3.2+2.0mm),1998,28,1400.7,0.0
JAM66D45-620/LB(3.2+2.0mm),2003,29,1447.67,0.0
JAM66D45-620/LB(3.2+2.0mm),2003,30,1497.59,0.0
JAM66D45-630/LB(3.2+2.0mm),1999,28,1409.74,0.0
JAM66D45-630/LB(3.2+2.0mm),1999,30,1510.44,0.0
JAM66D45-630/LB(3.2+2.0mm),1998,29,1450.72,0.0
JAM66D45-630/LB(3.2+2.0mm),1999,29,1460.09,0.0
JAM66D45-630/LB(3.2+2.0mm),2000,28,1391.82,0.0
JAM66D45-630/LB(3.2+2.0mm),2000,29,1441.52,0.0
JAM66D45-630/LB(3.2+2.0mm),2001,28,1398.67,0.0
JAM66D45-630/LB(3.2+2.0mm),2000,30,1491.23,0.0
JAM66D45-630/LB(3.2+2.0mm),2001,29,1448.62,0.0
JAM66D45-630/LB(3.2+2.0mm),2001,30,1498.57,0.0
JAM66D45-630/LB(3.2+2.0mm),2002,29,1465.76,0.0
JAM66D45-630/LB(3.2+2.0mm),2002,28,1415.22,0.0
JAM66D45-630/LB(3.2+2.0mm),2003,28,1409.62,0.0
JAM66D45-630/LB(3.2+2.0mm),2003,30,1510.3,0.0
JAM66D45-630/LB(3.2+2.0mm),2002,30,1516.3,0.0
JAM66D45-635/LB(3.2+2.0mm),1998,28,1406.59,0.0
JAM66D45-630/LB(3.2+2.0mm),2003,29,1459.96,0.0
JAM66D45-635/LB(3.2+2.0mm),1998,30,1507.06,0.0
JAM66D45-635/LB(3.2+2.0mm),1998,29,1456.83,0.0
JAM66D45-635/LB(3.2+2.0mm),1999,28,1415.65,0.0
JAM66D45-635/LB(3.2+2.0mm),2000,28,1397.63,0.0
JAM66D45-635/LB(3.2+2.0mm),1999,29,1466.21,0.0
JAM66D45-635/LB(3.2+2.0mm),1999,30,1516.77,0.0
JAM66D45-635/LB(3.2+2.0mm),2000,29,1447.55,0.0
JAM66D45-635/LB(3.2+2.0mm),2000,30,1497.47,0.0
JAM66D45-635/LB(3.2+2.0mm),2001,28,1404.56,0.0
JAM66D45-635/LB(3.2+2.0mm),2001,29,1454.72,0.0
JAM66D45-635/LB(3.2+2.0mm),2001,30,1504.88,0.0
JAM66D45-635/LB(3.2+2.0mm),2002,28,1421.19,0.0
JAM66D45-635/LB(3.2+2.0mm),2002,30,1522.71,0.0
JAM66D45-635/LB(3.2+2.0mm),2002,29,1471.95,0.0
JAM66D45-635/LB(3.2+2.0mm),2003,28,1415.55,0.0
JAM66D45-635/LB(3.2+2.0mm),2003,29,1466.1,0.0
JAM66D45-635/LB(3.2+2.0mm),2003,30,1516.66,0.0
JAM66D45-625/LB(3.2+2.0mm),1998,28,1394.78,0.0
JAM66D45-625/LB(3.2+2.0mm),1998,29,1444.59,0.0
JAM66D45-625/LB(3.2+2.0mm),1998,30,1494.41,0.0
JAM66D45-625/LB(3.2+2.0mm),1999,28,1403.79,0.0
JAM66D45-625/LB(3.2+2.0mm),1999,29,1453.92,0.0
JAM66D45-625/LB(3.2+2.0mm),1999,30,1504.06,0.0
JAM66D45-625/LB(3.2+2.0mm),2000,30,1484.98,0.0
JAM66D45-625/LB(3.2+2.0mm),2000,29,1435.48,0.0
JAM66D45-625/LB(3.2+2.0mm),2000,28,1385.98,0.0
JAM66D45-625/LB(3.2+2.0mm),2001,28,1392.76,0.0
JAM66D45-625/LB(3.2+2.0mm),2001,29,1442.5,0.0
JAM66D45-625/LB(3.2+2.0mm),2001,30,1492.24,0.0
JAM66D45-625/LB(3.2+2.0mm),2002,28,1409.22,0.0
JAM66D45-625/LB(3.2+2.0mm),2002,29,1459.55,0.0
JAM66D45-625/LB(3.2+2.0mm),2002,30,1509.88,0.0
JAM66D45-625/LB(3.2+2.0mm),2003,29,1453.79,0.0
JAM66D45-625/LB(3.2+2.0mm),2003,28,1403.66,0.0
JAM66D45-625/LB(3.2+2.0mm),2003,30,1503.93,0.0
