Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,691017,-,-,-,30.97,-97.26,-6,169,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,
2018,1,1,0,30,-3.6,1.37,0.07100000000000001,0.63,0,0,0,0,7,-12.200000000000001,0,0,0,0,0.311,51.26,172.02,0.9400000000000001,0.16,1017,0.8,15,5,,,,,,,,,,,,,,,,,,
2018,1,1,1,30,-4,1.3800000000000001,0.067,0.63,0,0,0,0,7,-12.9,0,0,0,0,0.31,49.980000000000004,164.95000000000002,0.9400000000000001,0.16,1017,0.8,16,4.800000000000001,,,,,,,,,,,,,,,,,,
2018,1,1,2,30,-4.4,1.41,0.061,0.63,0,0,0,0,7,-13.5,0,0,0,0,0.309,49.230000000000004,152.75,0.93,0.16,1017,0.9,15,4.7,,,,,,,,,,,,,,,,,,
2018,1,1,3,30,-4.9,1.43,0.055,0.63,0,0,0,0,7,-13.8,0,0,0,0,0.308,49.660000000000004,139.94,0.93,0.16,1017,0.9,12,4.5,,,,,,,,,,,,,,,,,,
2018,1,1,4,30,-5.2,1.44,0.051000000000000004,0.63,0,0,0,0,7,-13.9,0,0,0,0,0.308,50.38,127.11,0.93,0.16,1018,0.8,10,4.5,,,,,,,,,,,,,,,,,,
2018,1,1,5,30,-5.300000000000001,1.43,0.048,0.63,0,0,0,0,6,-13.9,0,0,0,0,0.309,50.7,114.45,0.93,0.16,1019,0.9,12,4.4,,,,,,,,,,,,,,,,,,
2018,1,1,6,30,-5.4,1.41,0.046,0.63,0,0,0,0,7,-14,0,0,0,0,0.309,50.92,102.12,0.93,0.16,1019,0.9,15,4.4,,,,,,,,,,,,,,,,,,
2018,1,1,7,30,-5.1000000000000005,1.3800000000000001,0.051000000000000004,0.63,10,83,10,4,7,-14,4,0,57,4,0.309,49.74,89.74,0.9400000000000001,0.16,1020,0.9,17,4.6000000000000005,,,,,,,,,,,,,,,,,,
